'Elapsed time','ECG'
'seconds','mV'
0.000,-0.273
0.004,-0.307
0.008,-0.297
0.012,-0.320
0.016,-0.333
0.020,-0.335
0.024,-0.338
0.028,-0.325
0.032,-0.328
0.036,-0.295
0.040,-0.345
0.044,-0.278
0.048,-0.328
0.052,-0.347
0.056,-0.375
0.060,-0.328
0.064,-0.300
0.068,-0.307
0.072,-0.297
0.076,-0.285
0.080,-0.278
0.084,-0.297
0.088,-0.300
0.092,-0.247
0.096,-0.260
0.100,-0.263
0.104,-0.225
0.108,-0.210
0.112,-0.215
0.116,-0.215
0.120,-0.240
0.124,-0.203
0.128,-0.212
0.132,-0.207
0.136,-0.170
0.140,-0.200
0.144,-0.195
0.148,-0.188
0.152,-0.198
0.156,-0.228
0.160,-0.225
0.164,-0.285
0.168,-0.250
0.172,-0.250
0.176,-0.228
0.180,-0.207
0.184,-0.237
0.188,-0.253
0.192,-0.228
0.196,-0.233
0.200,-0.188
0.204,-0.185
0.208,-0.200
0.212,-0.160
0.216,-0.122
0.220,-0.125
0.224,-0.100
0.228,-0.022
0.232,0.095
0.236,0.312
0.240,0.588
0.244,0.978
0.248,1.353
0.252,1.770
0.256,2.112
0.260,2.350
0.264,2.283
0.268,2.000
0.272,1.500
0.276,0.978
0.280,0.537
0.284,0.138
0.288,-0.122
0.292,-0.198
0.296,-0.250
0.300,-0.287
0.304,-0.212
0.308,-0.263
0.312,-0.273
0.316,-0.307
0.320,-0.325
0.324,-0.347
0.328,-0.340
0.332,-0.333
0.336,-0.328
0.340,-0.360
0.344,-0.378
0.348,-0.390
0.352,-0.390
0.356,-0.420
0.360,-0.388
0.364,-0.422
0.368,-0.400
0.372,-0.412
0.376,-0.415
0.380,-0.438
0.384,-0.435
0.388,-0.432
0.392,-0.425
0.396,-0.438
0.400,-0.435
0.404,-0.422
0.408,-0.395
0.412,-0.440
0.416,-0.460
0.420,-0.440
0.424,-0.487
0.428,-0.425
0.432,-0.412
0.436,-0.388
0.440,-0.388
0.444,-0.453
0.448,-0.432
0.452,-0.448
0.456,-0.438
0.460,-0.415
0.464,-0.440
0.468,-0.362
0.472,-0.407
0.476,-0.388
0.480,-0.415
0.484,-0.422
0.488,-0.438
0.492,-0.425
0.496,-0.435
0.500,-0.370
0.504,-0.398
0.508,-0.388
0.512,-0.412
0.516,-0.412
0.520,-0.400
0.524,-0.398
0.528,-0.445
0.532,-0.383
0.536,-0.395
0.540,-0.370
0.544,-0.378
0.548,-0.420
0.552,-0.427
0.556,-0.398
0.560,-0.388
0.564,-0.375
0.568,-0.338
0.572,-0.347
0.576,-0.315
0.580,-0.328
0.584,-0.328
0.588,-0.312
0.592,-0.215
0.596,-0.247
0.600,-0.177
0.604,-0.150
0.608,-0.147
0.612,-0.138
0.616,-0.128
0.620,-0.160
0.624,-0.170
0.628,-0.122
0.632,-0.115
0.636,-0.102
0.640,-0.122
0.644,-0.133
0.648,-0.110
0.652,-0.165
0.656,-0.175
0.660,-0.172
0.664,-0.170
0.668,-0.135
0.672,-0.165
0.676,-0.195
0.680,-0.185
0.684,-0.220
0.688,-0.188
0.692,-0.203
0.696,-0.233
0.700,-0.198
0.704,-0.212
0.708,-0.207
0.712,-0.188
0.716,-0.185
0.720,-0.212
0.724,-0.212
0.728,-0.200
0.732,-0.195
0.736,-0.212
0.740,-0.200
0.744,-0.182
0.748,-0.250
0.752,-0.212
0.756,-0.237
0.760,-0.233
0.764,-0.207
0.768,-0.237
0.772,-0.220
0.776,-0.223
0.780,-0.215
0.784,-0.263
0.788,-0.285
0.792,-0.260
0.796,-0.250
0.800,-0.258
0.804,-0.258
0.808,-0.273
0.812,-0.275
0.816,-0.310
0.820,-0.290
0.824,-0.290
0.828,-0.287
0.832,-0.312
0.836,-0.297
0.840,-0.312
0.844,-0.290
0.848,-0.320
0.852,-0.340
0.856,-0.350
0.860,-0.345
0.864,-0.315
0.868,-0.312
0.872,-0.310
0.876,-0.287
0.880,-0.310
0.884,-0.312
0.888,-0.372
0.892,-0.338
0.896,-0.347
0.900,-0.340
0.904,-0.325
0.908,-0.333
0.912,-0.365
0.916,-0.347
0.920,-0.338
0.924,-0.385
0.928,-0.307
0.932,-0.375
0.936,-0.350
0.940,-0.352
0.944,-0.340
0.948,-0.365
0.952,-0.350
0.956,-0.383
0.960,-0.350
0.964,-0.350
0.968,-0.338
0.972,-0.362
0.976,-0.372
0.980,-0.352
0.984,-0.395
0.988,-0.383
0.992,-0.360
0.996,-0.378
1.000,-0.372
1.004,-0.352
1.008,-0.365
1.012,-0.383
1.016,-0.352
1.020,-0.347
1.024,-0.383
1.028,-0.378
1.032,-0.378
1.036,-0.345
1.040,-0.352
1.044,-0.362
1.048,-0.412
1.052,-0.390
1.056,-0.362
1.060,-0.372
1.064,-0.357
1.068,-0.350
1.072,-0.338
1.076,-0.365
1.080,-0.328
1.084,-0.395
1.088,-0.390
1.092,-0.362
1.096,-0.372
1.100,-0.357
1.104,-0.345
1.108,-0.362
1.112,-0.388
1.116,-0.383
1.120,-0.378
1.124,-0.378
1.128,-0.345
1.132,-0.350
1.136,-0.297
1.140,-0.312
1.144,-0.360
1.148,-0.360
1.152,-0.362
1.156,-0.352
1.160,-0.335
1.164,-0.300
1.168,-0.263
1.172,-0.258
1.176,-0.250
1.180,-0.287
1.184,-0.270
1.188,-0.265
1.192,-0.285
1.196,-0.278
1.200,-0.265
1.204,-0.223
1.208,-0.247
1.212,-0.273
1.216,-0.253
1.220,-0.287
1.224,-0.295
1.228,-0.287
1.232,-0.297
1.236,-0.312
1.240,-0.290
1.244,-0.325
1.248,-0.312
1.252,-0.320
1.256,-0.340
1.260,-0.345
1.264,-0.312
1.268,-0.265
1.272,-0.250
1.276,-0.263
1.280,-0.265
1.284,-0.263
1.288,-0.285
1.292,-0.235
1.296,-0.223
1.300,-0.175
1.304,-0.120
1.308,0.075
1.312,0.302
1.316,0.657
1.320,1.075
1.324,1.545
1.328,1.875
1.332,2.013
1.336,1.772
1.340,1.315
1.344,0.745
1.348,0.203
1.352,-0.190
1.356,-0.347
1.360,-0.445
1.364,-0.432
1.368,-0.350
1.372,-0.340
1.376,-0.362
1.380,-0.365
1.384,-0.398
1.388,-0.427
1.392,-0.438
1.396,-0.432
1.400,-0.497
1.404,-0.427
1.408,-0.450
1.412,-0.510
1.416,-0.507
1.420,-0.487
1.424,-0.507
1.428,-0.522
1.432,-0.502
1.436,-0.522
1.440,-0.475
1.444,-0.525
1.448,-0.532
1.452,-0.583
1.456,-0.552
1.460,-0.550
1.464,-0.545
1.468,-0.550
1.472,-0.562
1.476,-0.552
1.480,-0.588
1.484,-0.583
1.488,-0.578
1.492,-0.562
1.496,-0.532
1.500,-0.565
1.504,-0.535
1.508,-0.550
1.512,-0.575
1.516,-0.590
1.520,-0.573
1.524,-0.585
1.528,-0.573
1.532,-0.578
1.536,-0.557
1.540,-0.560
1.544,-0.595
1.548,-0.578
1.552,-0.583
1.556,-0.600
1.560,-0.600
1.564,-0.608
1.568,-0.583
1.572,-0.608
1.576,-0.640
1.580,-0.660
1.584,-0.647
1.588,-0.690
1.592,-0.665
1.596,-0.665
1.600,-0.627
1.604,-0.627
1.608,-0.632
1.612,-0.637
1.616,-0.657
1.620,-0.672
1.624,-0.677
1.628,-0.647
1.632,-0.645
1.636,-0.635
1.640,-0.608
1.644,-0.652
1.648,-0.650
1.652,-0.670
1.656,-0.625
1.660,-0.623
1.664,-0.625
1.668,-0.557
1.672,-0.545
1.676,-0.532
1.680,-0.490
1.684,-0.500
1.688,-0.512
1.692,-0.470
1.696,-0.445
1.700,-0.412
1.704,-0.412
1.708,-0.407
1.712,-0.427
1.716,-0.448
1.720,-0.472
1.724,-0.453
1.728,-0.482
1.732,-0.427
1.736,-0.427
1.740,-0.500
1.744,-0.487
1.748,-0.522
1.752,-0.570
1.756,-0.550
1.760,-0.570
1.764,-0.578
1.768,-0.532
1.772,-0.547
1.776,-0.550
1.780,-0.565
1.784,-0.600
1.788,-0.595
1.792,-0.600
1.796,-0.608
1.800,-0.570
1.804,-0.565
1.808,-0.583
1.812,-0.595
1.816,-0.603
1.820,-0.608
1.824,-0.603
1.828,-0.608
1.832,-0.598
1.836,-0.600
1.840,-0.583
1.844,-0.603
1.848,-0.615
1.852,-0.660
1.856,-0.645
1.860,-0.660
1.864,-0.608
1.868,-0.615
1.872,-0.650
1.876,-0.652
1.880,-0.640
